Job_ID,Bank_Name,Job_Title,Cluster_Name,The_amount_of_word_count,Category
0,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
1,Morgan Stanley,Portfolio Associate,﻿Payments,17,Fintech
2,Morgan Stanley,Fixed Income Risk & Analytics Strategist,﻿Payments,15,Fintech
3,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
4,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
5,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
6,Morgan Stanley,Credit Risk Analyst - CCSF & Illiquid Collateral Lending,Lending,38,Fintech
7,Morgan Stanley,State and Local Tax Manager,Planning,42,Fintech
8,Morgan Stanley,Consulting Group Analyst,Non-FinTech,10,Nonfintech
9,Morgan Stanley,Equity Trade Surveillance and Oversight Vice President,﻿Payments,25,Fintech
10,Morgan Stanley,Equity Trade Surveillance and Oversight,﻿Payments,23,Fintech
11,Morgan Stanley,Senior Registered Associate,﻿Payments,18,Fintech
12,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
13,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
14,Morgan Stanley,PWM Intern,Non-FinTech,11,Nonfintech
15,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
16,Morgan Stanley,College Summer Intern *,Non-FinTech,11,Nonfintech
17,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
18,Morgan Stanley,AIP Private Equity Fund of Fund Analyst - MSIM,Lending,39,Fintech
19,Morgan Stanley,Cash Settlements Director,﻿Payments,36,Fintech
20,Morgan Stanley,International Equity Portfolio Specialist - MSIM,﻿Payments,22,Fintech
21,Morgan Stanley,Wealth Management Associate,﻿Payments,20,Fintech
22,Morgan Stanley,"Branch Manager, Producing",﻿Payments,21,Fintech
23,Morgan Stanley,Executive Assistant - Re-Engineering and Expense Management Third Party Program Management,Non-FinTech,13,Nonfintech
24,Morgan Stanley,Treasury Management - Project Management Office Associate,﻿Payments,34,Fintech
25,Morgan Stanley,Corporate Services - Global Head of Digital Creative - Vice President,﻿Payments,59,Fintech
26,Morgan Stanley,Research Management Data Analyst,Lending,16,Fintech
27,Morgan Stanley,Global Travel Product Solutions & Innovation Manager - Vice President,Big Data,43,Fintech
28,Morgan Stanley,Construction Sourcing Vice President - Americas,﻿Payments,15,Fintech
29,Morgan Stanley,Vendor Risk Program Support Analyst,﻿Payments,22,Fintech
30,Morgan Stanley,"Senior Manager, Third Party Program Management Tools, Process & Communications Support",Blockchain,28,Fintech
31,Morgan Stanley,"Vice President, Vendor Risk Program Management",﻿Payments,33,Fintech
32,Morgan Stanley,"Risk Officer, Vice President",Lending,32,Fintech
33,Morgan Stanley,Alternative Investment Services Specialist,﻿Payments,35,Fintech
34,Morgan Stanley,Investment Banking Vice President - Los Angeles,﻿Payments,18,Fintech
35,Morgan Stanley,Registered Associate,﻿Payments,18,Fintech
36,Morgan Stanley,Wealth Management Associate,﻿Payments,20,Fintech
37,Morgan Stanley,Trading Operations Vice President - Institutional Securities Group Product Operations,﻿Payments,60,Fintech
38,Morgan Stanley,Global Funding Controllers- Global Reporting,﻿Payments,23,Fintech
39,Morgan Stanley,MRD Commodities Risk Manager - Seeking Analyst or Associate,Blockchain,29,Fintech
40,Morgan Stanley,Institutional Securities Loan Product Controller,﻿Payments,30,Fintech
41,Morgan Stanley,Global Surveillance Change Management Professional,﻿Payments,43,Fintech
42,Morgan Stanley,"Associate, SPG Middle Tier Developer",Lending,23,Fintech
43,Morgan Stanley,"Vice President, CCAR Modeling",Blockchain,19,Fintech
44,Morgan Stanley,Bank AML Project Management Associate,Planning,15,Fintech
45,Morgan Stanley,Compliance Vice President,﻿Payments,27,Fintech
46,Morgan Stanley,Registered Associate - Great Lakes,﻿Payments,18,Fintech
47,Morgan Stanley,Registered Associate - Great Lakes,﻿Payments,18,Fintech
48,Morgan Stanley,Business Service Manager,﻿Payments,21,Fintech
49,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
50,Morgan Stanley,Business Service Manager,﻿Payments,21,Fintech
51,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
52,Morgan Stanley,Business Service Manager,﻿Payments,21,Fintech
53,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
54,Morgan Stanley,Registered Associate - Great Lakes,﻿Payments,18,Fintech
55,Morgan Stanley,Associate - Regulatory Reporting,Blockchain,25,Fintech
56,Morgan Stanley,"Investment Management Wealth Advisor Channel, Internal Sales Specialist",﻿Payments,29,Fintech
57,Morgan Stanley,"Relationship Manager, Investment Management",﻿Payments,49,Fintech
58,Morgan Stanley,Client Service Associate/Desk Assistant,﻿Payments,22,Fintech
59,Morgan Stanley,Intern*,Non-FinTech,11,Nonfintech
60,Morgan Stanley,Client Service Associate*,﻿Payments,19,Fintech
61,Morgan Stanley,Trading Operations Specialist - Institutional Securities Group Product Operations,﻿Payments,46,Fintech
62,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
63,Morgan Stanley,Portfolio Management Associate Director,﻿Payments,15,Fintech
64,Morgan Stanley,Intern *,Non-FinTech,11,Nonfintech
65,Morgan Stanley,Tax Manager - Alternative Investments/Fund of Funds,Planning,35,Fintech
66,Morgan Stanley,PWM Client Service Associate,Non-FinTech,4,Nonfintech
